,Normalized_LunchADP,Normalized_FreeRedcElig,Normalized_LunchTotal,clusters
5630,0.0,0.0,0.0,1
5634,0.0,53.116531165311656,0.0,1
5640,70.71008403361344,79.41176470588235,989.9159663865546,0
5643,86.36363636363636,100.0,2590.909090909091,2
5649,0.0,54.94186046511628,0.0,1
5651,0.0,27.500000000000004,0.0,1
5653,0.0,0.0,0.0,1
5654,0.0,24.655647382920108,0.0,1
5658,0.0,50.24875621890548,0.0,1
5661,92.22807017543859,100.0,2766.666666666667,2
5668,0.0,3.767123287671233,0.0,1
5670,0.0,20.930232558139537,0.0,1
5672,26.25,100.0,787.5,0
5679,0.0,0.0,0.0,1
5689,0.0,61.25000000000001,0.0,1
5705,54.66168224299065,39.626168224299064,874.5794392523364,0
5711,0.0,0.0,0.0,1
5723,53.665653495440736,46.808510638297875,858.6626139817629,0
5725,0.0,0.0,0.0,1
5727,0.0,14.53287197231834,0.0,1
5729,0.0,40.21739130434783,0.0,1
5733,28.142857142857142,100.0,842.8571428571429,0
5736,0.0,36.162361623616235,0.0,1
5753,0.0,21.11650485436893,0.0,1
5766,0.0,47.57505773672055,0.0,1
5767,0.0,4.590818363273453,0.0,1
5769,0.0,20.470127326150834,0.0,1
5775,71.27659574468085,20.425531914893615,1282.9787234042553,0
5776,0.0,0.0,0.0,1
5777,0.0,0.0,0.0,1
5781,0.0,35.18072289156626,0.0,1
5782,54.10179640718562,32.93413173652694,919.7604790419161,0
5783,55.36825396825397,38.41269841269842,941.2698412698413,0
5785,16.324175824175825,27.472527472527474,277.4725274725275,1
5787,25.5,100.0,766.6666666666667,0
5789,34.625,100.0,1037.5,0
5792,0.0,36.247334754797436,0.0,1
5804,0.0,0.0,0.0,1
5812,0.0,7.398273736128237,0.0,1
5817,0.0,56.77749360613811,0.0,1
5818,0.0,12.816691505216097,0.0,1
5819,92.71428571428571,100.0,2780.952380952381,2
5837,30.0,100.0,900.0,0
5844,0.0,22.563176895306857,0.0,1
5853,68.15517241379311,100.0,1090.5172413793102,0
5855,0.0,0.0,0.0,1
5863,73.83333333333333,100.0,2216.666666666667,2
5872,0.0,0.0,0.0,1
5884,0.0,0.0,0.0,1
5886,86.34285714285714,100.0,1381.4285714285716,0
5887,0.0,0.0,0.0,1
5892,72.22580645161291,94.35483870967742,1155.6451612903227,0
5893,0.0,0.0,0.0,1
5896,0.0,48.99135446685879,0.0,1
5897,0.0,43.48894348894349,0.0,1
5900,0.0,28.097345132743364,0.0,1
